Image,BLIP,ViT,BLIP-2
card_3.png,artist's painting of a woman walking in the ocean with green plants,a painting of a woman on a skateboard ,"a painting with a girl walking in the field
"
card_6.png,painting of a person standing on a ladder with a bird in the air,a person jumping in the air on a surfboard ,"a man stands on a ladder for painting a dove
"
card_4.png,illustration of spiral staircase going up a hill with trees in the background,a painting of a bird sitting on top of a tree ,"a painting that shows a spiral staircase leading to the sky
"
card_5.png,"books, and a bird, sitting on top of the pile of books",a pile of books on top of each other ,"the story of the book | jane kirby
"
card_1.png,she is playing a big cello with a bird on her shoulder,a painting of a woman holding a guitar ,"a painting of a woman playing a cello
"
card_2.png,planets and the cradle in this miniature book are being made,a wooden table topped with lots of different colored balls ,"this book about the planets is shown next to a wooden rack with planets on it
"
card_7.png,starr painting - the boy and the stars by linda young,a painting of a person standing in the middle of a forest ,"a painting of a boy flying bubbles in the air
"
card_10.png,abstract painting of a cat in an aquarium catching a fish,a cat sitting in front of a picture of a cat ,"cat in a bowl
"
card_11.png,they are holding their phones while they stand near a building,a painting of a person holding a cell phone ,"the giant is coming by wagner paulo
"
card_13.png,arafed image of a drop of water with an island inside of it,a blue and white photo of a blue and white kite ,"a painting depicting an island in a drop of water
"
card_8.png,a painting of a little boy in a black dress standing next to a blue dragon,a painting of a man with a cat on his head ,"a painting of a blue dragon with an orange background and boy standing near it
"
card_9.png,older woman standing in front of a flower pot with many flowers,a doll is sitting on top of a table ,"dinner, oil on canvas
"
card_14.png,painting of a castle in the sky on a hot air balloon,a balloon shaped like an airplane flying through the air ,"an illustration of a castle and a hot air balloon flying through the air
"
card_12.png,brightly lit carousel in park with cats and dogs on top,a man riding on the back of an elephant ,"an art print of a carousel ride
"
card_15.png,mural of a bed and some fish under a sea,a painting of an umbrella on a table ,"an image of a bed under the sea
"
card_16.png,mural of the black dragon with teeth and hands in the desert,a painting of a cartoon character with a stuffed animal ,"an illustration showing the children standing next to a giant blue monster
"
card_19.png,picture taken from the painting of a dog marioning a cat,a statue of a woman in a red dress ,"a painting with an angry wolf and a rabbit on a string
"
card_18.png,shoes and ribbon with spider web in background of painting,a pair of pink shoes on a wooden floor ,"a painting of two ballet shoes with pink ribbon
"
card_17.png,fishes in a boat with a pirate in the middle of a sea,a painting of a boat on a table ,"a painting of a boat on top of the ocean with a man sitting on it
"
card_20.png,musicians in the background are playing music and a green dragon is standing beside,a painting of a bird on a wall ,"a painting of a dragon with a violin player
"
card_24.png,anime painting of a green creature with yellow curtains and a vase,a painting of birds on a table ,"a painting of a snake in a cage
"
card_23.png,animals standing in the snow with a snowball in the background,a stuffed animal is sitting on top of a snowboard ,"a painting of two penguins under an ice sculpture
"
card_22.png,rusty bird sitting in a rusted suitcase with a flower in it,a painting of a stuffed animal on top of a table ,"steampunk bird, acrylic, 24 x 36 cm
"
card_21.png,paintings on a surface are depicting a house and a pile of dirt under a magnifying glass,a reflection of a person's face in a mirror ,"a magnifying lens is view of a house and trees
"
card_27.png,yellow hourglass with a cartoon figure sitting inside of it,a man is standing in front of a large mirror ,"an art work of a man inside a glass hourglass
"
card_28.png,older woman sitting on bed with a ball in hand in a living room,a woman sitting on a bench in front of a wall ,"a painting of a child sleeping on a bed with a ball and handcuffs
"
card_26.png,upon upon the entrance to the castle there is a white rabbit that is walking through the castle,a statue of a man with a sword in the middle of a room ,"a painting of a rabbit in medieval armor
"
card_25.png,these are monkey statues are painted in a style that is called monkey king,a statue of a bear with a hat on ,"the painting shows a monkey sitting on a chair
"
card_29.png,murals depicting the silhouette of a pregnant woman and a flower vase,a woman in a pink dress holding a pink cake ,"the mother's shadow- a children's novel by karen james
"
card_34.png,graffiti of a man lying on the ground and holding a red balloon,a person laying on the ground with an orange balloon ,"a man laying in a field with an orange balloon
"
card_30.png,paintings of a boy flying in the sky on a fish with fishing hooks,a painting of a woman holding a colorful umbrella ,"a painting of a boy on a clown fish, swinging from fishhooks
"
